film,year,movies.budget,movies.revenue,movies.popularity,status
Almost Famous,2000,60000000,47386287,16.45,winner
The Patriot,2000,110000000,215294342,29.88,nominated
Billy Elliot,2000,5000000,109280263,15.91,nominated
Anatomy of a Murder,1959,2000000,8000000,8.94,nominated
North by Northwest,1959,4000000,13275000,14.62,nominated
102 Dalmatians,2000,85000000,183611771,11.68,nominated
Traffic,2000,48000000,207515725,16.65,nominated
Mulholland Drive,2001,15000000,20271129,17.61,nominated
Amélie,2001,10000000,173921954,20.13,nominated
Gosford Park,2001,19800000,87754044,10.46,nominated
Spartacus,1960,12000000,60000000,24.42,nominated
Never on Sunday,1960,151000,8000000,3.58,nominated
In the Bedroom,2001,1700000,0,12.77,nominated
My Big Fat Greek Wedding,2002,5000000,368744044,9.62,nominated
The Guns of Navarone,1961,6000000,28900000,16.38,nominated
Breakfast at Tiffany's,1961,2500000,9500000,14.59,nominated
Far from Heaven,2002,13500000,29027914,6.86,nominated
Yojimbo,1961,0,0,11.83,nominated
Talk to Her,2002,0,51001550,9.07,winner
That Touch of Mink,1962,0,0,8.6,nominated
Lost in Translation,2003,4000000,119723856,13.03,nominated
Cold Mountain,2003,79000000,173013509,14.28,nominated
The Barbarian Invasions,2003,8000000,3432342,6.76,nominated
Girl with a Pearl Earring,2003,0,31466789,12.8,nominated
The Manchurian Candidate,1962,2200000,7700000,12.44,nominated
Mystic River,2003,25000000,156822020,21.33,nominated
The Incredibles,2004,92000000,631442092,106.37,nominated
Million Dollar Baby,2004,30000000,216763646,23.04,winner
A Very Long Engagement,2004,47000000,0,7.63,nominated
A Hard Day's Night,1964,560000,2360561,8.86,nominated
Finding Neverland,2004,25000000,116766556,15.01,nominated
Lemony Snicket's A Series of Unfortunate Events,2004,140000000,209073645,19.57,nominated
Sideways,2004,16000000,109502303,9.08,nominated
Vera Drake,2004,11000000,13300000,8.14,nominated
Ray,2004,40000000,124731534,23.22,nominated
The Americanization of Emily,1964,0,0,3.4,nominated
The Passion of the Christ,2004,30000000,611899420,89.01,nominated
Doctor Zhivago,1965,11000000,111858363,18.59,winner
The New World,2005,30000000,30536013,10.85,nominated
The Constant Gardener,2005,25000000,82466670,11.88,nominated
Charlie and the Chocolate Factory,2005,150000000,474968763,231.59,nominated
Memoirs of a Geisha,2005,85000000,162242962,56.21,winner
Who's Afraid of Virginia Woolf?,1966,7500000,33736689,9.04,winner
Capote,2005,7000000,49327405,11.48,nominated
A Man for All Seasons,1966,3900000,28350000,8.56,winner
Match Point,2005,15000000,85306374,15.21,nominated
The Fortune Cookie,1966,0,0,7.17,nominated
